	Mouse_6.8	Mous_12.8	Mous_21.8	Mouse_24.8	Mouse_26.8	Mouse_27.8	Mouse_28.8	Mouse_34.8	Mouse_37.8	Mouse_49.8	Mouse_52.8	Mouse_56.8	Mouse_65.8	Mouse_66.8	Mouse_67.8	Mouse_8.8	Mouse_9.8	Mouse_15.8	Mouse_19.8	Mouse_22.8	Mouse_23.8	Mouse_25.8	Mouse_29.8	Mouse_30.8	Mouse_53.8	Mouse_54.8	Mouse_55.8	Mouse_70.8	Mouse_71.8	Mouse_1.8	Mouse_5.8	Mouse_31.8	Mouse_32.8	Mouse_33.8	Mouse_36.8	Mouse_38.8	Mouse_39.8	Mouse_40.8	Mouse_50.8	Mouse_51.8	Mouse_57.8	Mouse_63.8	Mouse_64.8	Mouse_0.8	Mouse_0.16	Mouse_0.24	Mouse_7.8	Mouse_10.8	Mouse_41.8	Mouse_42.8	Mouse_43.8	Mouse_45.8	Mouse_46.8	Mouse_47.8	Mouse_58.8	Mouse_59.8	Mouse_60.8	Mouse_62.8
zOTU_894	0	0	0	0	0	0	0	0	0	0	0	0	0.376767457037198	0	0	0	0	0	0.735590340978037	0	0	0	0	0	0	0	0	0	0.576468630387752	0	0	0	0	0	0	0	0	0	0	0	0	1.38744993324433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140061458838751
zOTU_897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105084334425434	0	0	0	0	0	0	0	0	0.338810641627543	0	0	0.396012438265959	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151504548635409	0	0	0	0	0	0	0	0	0	0	0	0	0.140061458838751
zOTU_9	0	0	0	0	0	0	0	0	0	0	0	0	3.86186643463128	33.2894014277869	10.9980813156693	97.7709818349046	34.071303672042	7.78852698104035	6.72539740322776	0	0	0	0	0	0	0	0	90.8012519561815	76.0938592111832	20.3344685427496	34.7698920797512	0	0	0	0	0	0	0	0	0	0	58.1572763684913	105.184095860566	60.008152173913	20.1501049685094	32.2680452594616	53.627135348226	96.9052192066806	0	0	0	0	0	0.306440198159943	0	0	0	4.06178230632379
zOTU_900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55224950708012	0	0	0	0	0	0	0	0	0	0	0	0	0.0943355119825708	5.09873188405797	0	4.05462348809988	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_903	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158520959179938	0	0.199126235916303	0.0841266757334369	0	0.105084334425434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.471677559912854	0	0	0.33788529067499	0	0	0	0	0	0	0	0	0	0	0	0.700307294193757
zOTU_905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0791228871630882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_909	0.74162884302475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.199126235916303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.840368753032508
zOTU_911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144117157596938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.454513645906228	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.252380027200311	0	0.315253003276301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73431241655541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zOTU_917	0.14832576860495	0.207276208712303	0	0	0	0	0	0	0	0	0	0	0	0	0.0791228871630882	0	0	0.105250364608653	0	0	0	0	0	0	0	0	0	0	0.144117157596938	0	0.0792024876531919	0	0	0	0	0	0	0	0	0	0	0.11562082777036	0.0943355119825708	0	0.151504548635409	0.168942645337495	0.284494086727989	0.602644398051496	0	0	0	0	0	0	0	0	0	0.420184376516254
